,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
2296,2297,2297,other,age.gp2,Tr,NoTrade,Group,7,0,3,2,2,1,6,0,1,6,0,7,2,5
2646,2647,2647,white,age.gp1,NoTr,NoTrade,NoGroup,10,3,4,1,2,1,7,2,1,9,1,9,8,2
2676,2677,2677,white,age.gp3,NoTr,NoTrade,NoGroup,8,1,4,2,1,1,5,2,3,5,1,7,6,2
2714,2715,2715,white,age.gp4,NoTr,NoTrade,Group,19,3,2,3,11,1,16,2,8,11,1,18,12,7
2872,2873,2873,white,age.gp1,NoTr,NoTrade,Group,32,16,8,4,4,3,22,7,9,23,2,30,11,21
89,90,90,white,age.gp4,NoTr,NoTrade,Group,10,2,1,3,4,3,6,1,2,8,0,10,6,4
168,169,169,white,age.gp3,NoTr,NoTrade,NoGroup,15,2,4,0,9,0,13,2,6,9,0,15,9,6
290,291,291,black,age.gp2,NoTr,NoTrade,Group,11,0,5,2,4,6,5,0,2,9,3,8,9,2
794,795,795,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,0,0,5,1,4,0,2,3,0,5,4,1
1093,1094,1094,black,age.gp1,NoTr,NoTrade,NoGroup,10,2,3,3,2,4,4,2,0,10,0,10,4,6
1157,1158,1158,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,2,2,2,3,0,0,5,0,5,3,2
1362,1363,1363,black,age.gp4,NoTr,NoTrade,Group,10,2,2,3,3,5,5,0,3,7,2,8,6,4
1894,1895,1895,other,age.gp1,NoTr,NoTrade,Group,8,3,1,3,1,3,5,0,3,5,1,7,6,2
2583,2584,2584,white,age.gp4,NoTr,NoTrade,Group,12,2,2,1,7,3,9,0,5,7,1,11,9,3
90,91,91,white,age.gp4,NoTr,NoTrade,Group,12,0,6,3,3,0,12,0,10,2,0,12,9,3
238,239,239,white,age.gp2,Tr,NoTrade,Group,27,3,15,3,6,4,20,3,12,15,0,27,19,8
437,438,438,white,age.gp4,NoTr,NoTrade,NoGroup,5,1,2,0,2,0,4,1,1,4,0,5,4,1
676,677,677,white,age.gp4,Tr,NoTrade,Group,15,0,2,6,7,0,15,0,2,13,1,14,13,2
1580,1581,1581,white,age.gp4,Tr,NoTrade,Group,14,2,2,2,8,2,11,1,4,10,1,13,12,2
1739,1740,1740,white,age.gp3,Tr,NoTrade,Group,21,1,5,12,3,0,21,0,6,15,3,18,17,4
1808,1809,1809,white,age.gp2,Tr,NoTrade,Group,29,4,10,7,8,0,24,5,15,14,1,28,19,10
2355,2356,2356,white,age.gp3,Tr,NoTrade,NoGroup,9,1,1,2,5,0,9,0,3,6,0,9,7,2
2742,2743,2743,white,age.gp2,NoTr,NoTrade,Group,17,1,11,2,3,2,12,3,9,8,1,16,13,4
2840,2841,2841,white,age.gp2,Tr,NoTrade,Group,27,4,10,9,4,4,18,5,4,23,2,25,17,10
2865,2866,2866,white,age.gp2,Tr,NoTrade,Group,21,2,7,5,7,0,19,2,9,12,0,21,14,7
91,92,92,white,age.gp3,NoTr,NoTrade,Group,23,6,9,5,3,4,17,2,10,13,0,23,11,12
155,156,156,white,age.gp3,NoTr,NoTrade,Group,17,5,3,7,2,2,14,1,7,10,1,16,9,8
652,653,653,black,age.gp2,NoTr,NoTrade,NoGroup,12,0,6,5,1,6,6,0,3,9,0,12,9,3
708,709,709,white,age.gp2,Tr,NoTrade,Group,25,3,7,7,8,2,21,2,7,18,3,22,18,7
843,844,844,white,age.gp2,Tr,NoTrade,NoGroup,12,2,8,2,0,0,10,2,4,8,0,12,8,4
1353,1354,1354,black,age.gp4,NoTr,NoTrade,Group,11,1,4,4,2,4,6,1,3,8,1,10,7,4
1425,1426,1426,white,age.gp2,Tr,NoTrade,Group,19,1,5,7,6,3,13,3,8,11,1,18,12,7
1544,1545,1545,white,age.gp2,NoTr,NoTrade,NoGroup,9,2,2,2,3,0,9,0,4,5,0,9,7,2
1555,1556,1556,white,age.gp3,NoTr,NoTrade,Group,23,0,13,7,3,3,18,2,8,15,0,23,18,5
1891,1892,1892,other,age.gp1,NoTr,NoTrade,Group,7,5,0,1,1,2,5,0,4,3,2,5,3,4
1903,1904,1904,black,age.gp1,NoTr,NoTrade,NoGroup,8,3,1,4,0,4,3,1,2,6,3,5,4,4
1983,1984,1984,white,age.gp4,Tr,NoTrade,NoGroup,7,0,0,2,5,1,6,0,1,6,0,7,4,3
2115,2116,2116,white,age.gp2,NoTr,NoTrade,NoGroup,8,0,3,5,0,2,5,1,1,7,1,7,6,2
2322,2323,2323,white,age.gp1,NoTr,NoTrade,NoGroup,14,7,2,3,2,2,9,3,3,11,1,13,11,3
2630,2631,2631,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,0,3,4,1,6,0,3,4,0,7,5,2
136,137,137,white,age.gp2,NoTr,NoTrade,NoGroup,17,1,8,7,1,0,15,2,7,10,1,16,9,8
472,473,473,black,age.gp3,NoTr,Trade,Group,11,1,4,6,0,7,4,0,2,9,0,11,6,5
936,937,937,white,age.gp3,NoTr,NoTrade,NoGroup,4,0,1,2,1,0,3,1,1,3,0,4,2,2
1004,1005,1005,white,age.gp1,Tr,NoTrade,Group,30,13,7,8,2,0,21,9,11,19,0,30,20,10
1006,1007,1007,white,age.gp1,Tr,NoTrade,Group,26,13,4,5,4,1,19,6,3,23,4,22,13,13
1431,1432,1432,white,age.gp3,Tr,NoTrade,NoGroup,13,2,6,4,1,0,12,1,3,10,2,11,10,3
1493,1494,1494,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,1,1,0,2,1,0,3,0,3,2,1
1550,1551,1551,white,age.gp3,NoTr,NoTrade,Group,17,5,3,5,4,0,15,2,5,12,0,17,10,7
1734,1735,1735,white,age.gp3,Tr,NoTrade,Group,17,1,6,4,6,1,15,1,6,11,2,15,12,5
1858,1859,1859,white,age.gp3,NoTr,NoTrade,Group,17,2,3,5,7,2,14,1,3,14,0,17,10,7
1892,1893,1893,other,age.gp1,NoTr,NoTrade,Group,14,8,3,2,1,2,12,0,5,9,0,14,7,7
2354,2355,2355,white,age.gp3,Tr,NoTrade,NoGroup,10,0,6,3,1,0,9,1,3,7,0,10,6,4
2424,2425,2425,white,age.gp3,NoTr,Trade,Group,10,1,3,5,1,1,7,2,2,8,1,9,8,2
2511,2512,2512,white,age.gp1,NoTr,NoTrade,NoGroup,7,3,1,1,2,0,4,3,0,7,1,6,3,4
2738,2739,2739,white,age.gp2,Tr,NoTrade,Group,24,1,13,4,6,1,18,5,10,14,0,24,18,6
410,411,411,white,age.gp2,Tr,Trade,Group,27,3,11,7,6,1,20,6,9,18,0,27,14,13
534,535,535,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,0,1,1,0,2,0,0,2,0,2,2,0
635,636,636,other,age.gp1,NoTr,Trade,Group,4,1,0,3,0,0,4,0,1,3,0,4,4,0
664,665,665,white,age.gp2,NoTr,NoTrade,Group,22,1,7,9,5,1,20,1,5,17,1,21,15,7
705,706,706,white,age.gp2,NoTr,NoTrade,Group,20,1,11,7,1,1,18,1,11,9,0,20,15,5
1119,1120,1120,other,age.gp1,NoTr,NoTrade,NoGroup,7,3,0,1,3,0,7,0,2,5,0,7,4,3
1246,1247,1247,white,age.gp1,NoTr,NoTrade,NoGroup,10,5,1,2,2,1,7,2,0,10,2,8,3,7
1322,1323,1323,white,age.gp2,Tr,NoTrade,Group,26,2,9,11,4,3,21,2,5,21,1,25,20,6
1357,1358,1358,black,age.gp4,NoTr,NoTrade,Group,14,1,1,2,10,9,5,0,0,14,2,12,7,7
1802,1803,1803,white,age.gp4,Tr,NoTrade,Group,13,1,2,4,6,3,9,1,5,8,0,13,7,6
1849,1850,1850,black,age.gp3,NoTr,NoTrade,NoGroup,8,0,2,3,3,6,2,0,0,8,0,8,3,5
1876,1877,1877,other,age.gp1,NoTr,NoTrade,Group,16,8,5,3,0,2,14,0,4,12,1,15,9,7
2083,2084,2084,black,age.gp3,NoTr,NoTrade,NoGroup,6,0,1,5,0,4,2,0,0,6,1,5,4,2
2117,2118,2118,white,age.gp3,NoTr,NoTrade,Group,13,4,4,2,3,1,9,3,4,9,0,13,7,6
2325,2326,2326,white,age.gp3,Tr,NoTrade,Group,20,3,10,4,3,1,17,2,7,13,2,18,12,8
2557,2558,2558,other,age.gp1,NoTr,NoTrade,NoGroup,5,4,0,1,0,0,5,0,2,3,0,5,2,3
2636,2637,2637,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,1,2,1,3,0,2,2,0,4,3,1
94,95,95,white,age.gp3,NoTr,NoTrade,Group,16,0,9,4,3,0,16,0,10,6,0,16,14,2
164,165,165,white,age.gp3,NoTr,NoTrade,NoGroup,8,1,4,2,1,0,7,1,3,5,0,8,4,4
283,284,284,white,age.gp2,Tr,NoTrade,Group,36,3,14,11,8,4,27,5,10,26,1,35,23,13
743,744,744,white,age.gp2,Tr,NoTrade,Group,19,1,8,6,4,3,16,0,4,15,2,17,15,4
837,838,838,white,age.gp2,NoTr,NoTrade,Group,21,4,7,3,7,2,16,3,8,13,1,20,16,5
934,935,935,white,age.gp3,NoTr,NoTrade,NoGroup,8,0,4,3,1,1,5,2,4,4,1,7,6,2
2103,2104,2104,white,age.gp2,Tr,NoTrade,Group,23,2,8,7,6,2,19,2,9,14,1,22,16,7
2104,2105,2105,white,age.gp2,Tr,NoTrade,Group,22,1,9,9,3,1,19,2,11,11,2,20,15,7
2264,2265,2265,white,age.gp4,Tr,NoTrade,Group,16,3,4,3,6,0,14,2,5,11,2,14,12,4
2588,2589,2589,white,age.gp4,NoTr,NoTrade,Group,10,0,2,1,7,0,10,0,3,7,0,10,9,1
779,780,780,white,age.gp2,NoTr,NoTrade,NoGroup,9,0,2,6,1,3,5,1,3,6,1,8,6,3
1210,1211,1211,white,age.gp4,NoTr,NoTrade,NoGroup,12,0,1,2,9,0,12,0,5,7,0,12,9,3
1725,1726,1726,white,age.gp1,Tr,NoTrade,NoGroup,7,4,0,3,0,2,4,1,3,4,2,5,4,3
1735,1736,1736,white,age.gp3,Tr,NoTrade,Group,17,0,1,9,7,0,17,0,6,11,0,17,13,4
2394,2395,2395,black,age.gp2,NoTr,NoTrade,NoGroup,5,0,2,2,1,2,3,0,1,4,0,5,4,1
2717,2718,2718,white,age.gp4,NoTr,NoTrade,Group,7,0,1,3,3,0,7,0,4,3,0,7,5,2
2920,2921,2921,white,age.gp1,NoTr,NoTrade,NoGroup,10,6,1,2,1,0,9,1,3,7,1,9,5,5
2929,2930,2930,white,age.gp4,NoTr,NoTrade,Group,20,1,6,8,5,1,18,1,13,7,3,17,18,2
331,332,332,white,age.gp1,NoTr,NoTrade,NoGroup,11,6,2,3,0,1,7,3,1,10,5,6,9,2
332,333,333,white,age.gp2,Tr,NoTrade,NoGroup,18,2,8,6,2,2,14,2,7,11,1,17,8,10
901,902,902,other,age.gp1,Tr,NoTrade,NoGroup,5,2,1,2,0,1,4,0,2,3,0,5,3,2
968,969,969,white,age.gp2,Tr,NoTrade,Group,29,4,11,7,7,0,25,4,9,20,2,27,23,6
1404,1405,1405,white,age.gp3,NoTr,NoTrade,Group,18,2,4,7,5,2,14,2,6,12,0,18,13,5
1710,1711,1711,white,age.gp2,Tr,NoTrade,Group,24,3,5,10,6,1,20,3,10,14,1,23,14,10
1711,1712,1712,white,age.gp2,Tr,NoTrade,Group,27,2,12,7,6,0,22,5,10,17,2,25,16,11
2032,2033,2033,white,age.gp4,Tr,NoTrade,Group,11,0,1,4,6,3,8,0,1,10,0,11,8,3
2072,2073,2073,white,age.gp3,Tr,NoTrade,Group,17,1,6,7,3,2,14,1,8,9,0,17,12,5
2336,2337,2337,white,age.gp3,Tr,NoTrade,Group,23,3,6,8,6,2,19,2,10,13,2,21,13,10
2391,2392,2392,black,age.gp2,NoTr,NoTrade,NoGroup,7,1,2,1,3,3,3,1,0,7,0,7,2,5
823,824,824,white,age.gp3,NoTr,NoTrade,NoGroup,9,0,3,3,3,1,8,0,3,6,0,9,5,4
876,877,877,white,age.gp3,NoTr,Trade,Group,18,2,2,11,3,0,17,1,6,12,3,15,14,4
1055,1056,1056,white,age.gp4,NoTr,NoTrade,Group,11,0,3,5,3,0,10,1,3,8,1,10,7,4
1464,1465,1465,white,age.gp2,NoTr,Trade,Group,13,4,3,5,1,0,9,4,4,9,1,12,8,5
1873,1874,1874,other,age.gp1,NoTr,NoTrade,Group,12,5,3,3,1,2,10,0,4,8,1,11,5,7
1893,1894,1894,other,age.gp1,NoTr,NoTrade,Group,11,5,1,2,3,1,10,0,4,7,1,10,4,7
2333,2334,2334,white,age.gp3,Tr,NoTrade,Group,24,4,10,5,5,2,19,3,6,18,1,23,20,4
2519,2520,2520,black,age.gp2,NoTr,NoTrade,Group,17,0,6,10,1,8,9,0,7,10,1,16,12,5
2777,2778,2778,white,age.gp3,NoTr,NoTrade,Group,16,1,5,7,3,0,14,2,8,8,1,15,13,3
98,99,99,white,age.gp3,NoTr,NoTrade,Group,19,2,7,6,4,4,15,0,9,10,2,17,11,8
167,168,168,white,age.gp3,NoTr,NoTrade,NoGroup,8,0,4,2,2,0,7,1,3,5,0,8,8,0
186,187,187,white,age.gp3,Tr,NoTrade,NoGroup,7,1,2,3,1,0,7,0,1,6,1,6,5,2
655,656,656,white,age.gp2,Tr,NoTrade,NoGroup,10,1,4,3,2,2,7,1,3,7,0,10,6,4
948,949,949,white,age.gp3,Tr,NoTrade,Group,16,1,8,5,2,0,14,2,5,11,0,16,12,4
1007,1008,1008,white,age.gp1,Tr,NoTrade,Group,30,11,9,8,2,2,25,3,9,21,2,28,18,12
1471,1472,1472,white,age.gp1,NoTr,NoTrade,NoGroup,13,7,3,2,1,1,11,1,3,10,1,12,7,6
1565,1566,1566,white,age.gp4,Tr,NoTrade,Group,16,1,2,5,8,2,11,3,2,14,0,16,9,7
1601,1602,1602,white,age.gp2,Tr,NoTrade,NoGroup,14,0,5,3,6,2,11,1,3,11,2,12,9,5
2063,2064,2064,white,age.gp3,Tr,NoTrade,Group,22,2,9,8,3,4,17,1,7,15,1,21,17,5
2237,2238,2238,black,age.gp4,NoTr,Trade,Group,9,1,1,1,6,3,6,0,3,6,0,9,6,3
2623,2624,2624,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,2,3,2,0,7,0,2,5,0,7,7,0
1857,1858,1858,white,age.gp3,NoTr,NoTrade,Group,15,5,2,5,3,0,14,1,5,10,0,15,9,6
2327,2328,2328,white,age.gp3,Tr,NoTrade,Group,16,1,8,1,6,1,12,3,7,9,1,15,11,5
2582,2583,2583,white,age.gp4,NoTr,NoTrade,Group,12,0,5,5,2,2,10,0,3,9,2,10,10,2
2817,2818,2818,other,age.gp2,NoTr,NoTrade,NoGroup,7,1,1,4,1,1,6,0,0,7,0,7,3,4
2969,2970,2970,white,age.gp2,NoTr,NoTrade,Group,22,0,11,6,5,1,19,2,13,9,0,22,15,7
363,364,364,black,age.gp4,NoTr,NoTrade,NoGroup,2,0,1,1,0,1,1,0,0,2,0,2,2,0
556,557,557,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,0,1,0,0,1,0,1,1,0
710,711,711,white,age.gp2,Tr,NoTrade,Group,20,2,6,8,4,3,14,3,4,16,1,19,9,11
942,943,943,white,age.gp3,Tr,NoTrade,Group,14,1,6,4,3,0,13,1,4,10,0,14,9,5
1050,1051,1051,black,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,1,2,1,2,0,0,3,0,3,2,1
2649,2650,2650,white,age.gp2,NoTr,NoTrade,Group,18,1,6,8,3,2,15,1,10,8,1,17,15,3
2786,2787,2787,white,age.gp3,NoTr,NoTrade,Group,16,1,4,9,2,2,14,0,5,11,1,15,8,8
101,102,102,white,age.gp3,NoTr,NoTrade,Group,17,2,6,7,2,1,14,2,9,8,3,14,9,8
622,623,623,other,age.gp1,NoTr,Trade,Group,13,3,5,3,2,1,12,0,5,8,0,13,7,6
709,710,710,white,age.gp2,Tr,NoTrade,Group,27,6,5,9,7,4,20,3,10,17,4,23,18,9
1137,1138,1138,white,age.gp2,Tr,NoTrade,Group,23,2,11,7,3,2,16,5,6,17,2,21,13,10
1333,1334,1334,white,age.gp3,NoTr,NoTrade,NoGroup,7,0,2,2,3,1,6,0,4,3,1,6,5,2
1600,1601,1601,white,age.gp2,Tr,NoTrade,NoGroup,14,2,7,2,3,1,11,2,4,10,3,11,9,5
2154,2155,2155,other,age.gp2,NoTr,NoTrade,NoGroup,5,1,1,2,1,0,5,0,1,4,0,5,3,2
2426,2427,2427,white,age.gp4,NoTr,NoTrade,NoGroup,4,1,0,2,1,0,4,0,1,3,0,4,2,2
2686,2687,2687,black,age.gp3,NoTr,NoTrade,NoGroup,4,0,2,1,1,1,3,0,2,2,0,4,2,2
102,103,103,white,age.gp3,NoTr,NoTrade,Group,13,2,8,2,1,0,10,3,6,7,1,12,7,6
667,668,668,white,age.gp2,Tr,NoTrade,NoGroup,8,0,5,2,1,0,8,0,7,1,0,8,5,3
854,855,855,other,age.gp2,Tr,NoTrade,Group,4,0,2,1,1,0,4,0,1,3,0,4,3,1
1721,1722,1722,white,age.gp2,NoTr,NoTrade,Group,18,1,9,6,2,3,14,1,11,7,1,17,15,3
1986,1987,1987,white,age.gp4,Tr,NoTrade,NoGroup,2,1,0,1,0,0,2,0,0,2,0,2,1,1
2114,2115,2115,white,age.gp2,NoTr,NoTrade,NoGroup,11,0,7,3,1,0,11,0,7,4,1,10,8,3
2321,2322,2322,white,age.gp1,NoTr,NoTrade,NoGroup,13,5,5,3,0,1,7,5,2,11,1,12,5,8
2475,2476,2476,white,age.gp2,Tr,NoTrade,Group,17,1,10,6,0,3,12,2,5,12,0,17,11,6
2535,2536,2536,other,age.gp1,NoTr,NoTrade,NoGroup,9,3,4,2,0,1,8,0,5,4,2,7,6,3
2827,2828,2828,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,1,2,2,0,5,0,3,2,0,5,5,0
334,335,335,white,age.gp2,Tr,NoTrade,NoGroup,9,1,5,3,0,1,6,2,3,6,0,9,7,2
754,755,755,white,age.gp4,NoTr,NoTrade,NoGroup,9,2,1,2,4,1,8,0,4,5,0,9,5,4
1028,1029,1029,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,2,1,1,2,2,0,0,4,1,3,2,2
1058,1059,1059,white,age.gp4,NoTr,NoTrade,Group,15,0,2,3,10,1,14,0,5,10,0,15,14,1
1203,1204,1204,white,age.gp4,Tr,NoTrade,NoGroup,5,0,0,3,2,1,4,0,0,5,0,5,3,2
1247,1248,1248,white,age.gp1,NoTr,NoTrade,NoGroup,9,5,2,1,1,0,9,0,2,7,1,8,4,5
1605,1606,1606,white,age.gp3,Tr,NoTrade,NoGroup,7,1,1,3,2,0,7,0,2,5,1,6,7,0
1715,1716,1716,white,age.gp1,Tr,NoTrade,NoGroup,9,3,2,2,2,0,7,2,4,5,0,9,5,4
1724,1725,1725,white,age.gp1,Tr,NoTrade,NoGroup,9,5,0,2,2,1,6,2,1,8,1,8,4,5
2111,2112,2112,white,age.gp2,NoTr,NoTrade,NoGroup,10,1,5,3,1,1,8,1,4,6,0,10,7,3
2126,2127,2127,white,age.gp3,NoTr,NoTrade,Group,19,1,12,4,2,1,17,1,13,6,0,19,12,7
2289,2290,2290,other,age.gp2,Tr,NoTrade,Group,9,0,3,5,1,1,8,0,1,8,2,7,7,2
2337,2338,2338,white,age.gp3,Tr,NoTrade,Group,19,3,3,5,8,1,17,1,3,16,2,17,12,7
2528,2529,2529,white,age.gp2,NoTr,NoTrade,Group,19,4,7,5,3,1,14,4,10,9,0,19,14,5
2597,2598,2598,white,age.gp3,NoTr,NoTrade,Group,29,3,15,9,2,5,22,2,14,15,3,26,20,9
104,105,105,white,age.gp3,NoTr,NoTrade,Group,19,1,6,6,6,0,15,4,7,12,0,19,10,9
210,211,211,other,age.gp2,Tr,NoTrade,NoGroup,4,1,0,2,1,0,4,0,1,3,0,4,3,1
845,846,846,white,age.gp2,Tr,NoTrade,NoGroup,7,1,2,3,1,0,6,1,1,6,0,7,2,5
922,923,923,white,age.gp2,NoTr,NoTrade,NoGroup,11,0,5,2,4,0,11,0,9,2,0,11,10,1
1288,1289,1289,white,age.gp4,NoTr,NoTrade,Group,15,2,2,4,7,0,15,0,4,11,0,15,12,3
1607,1608,1608,white,age.gp3,Tr,NoTrade,NoGroup,10,1,2,3,4,1,8,1,2,8,0,10,7,3
1864,1865,1865,white,age.gp3,NoTr,NoTrade,Group,18,3,8,4,3,4,12,2,10,8,1,17,11,7
1906,1907,1907,other,age.gp2,NoTr,NoTrade,NoGroup,5,1,1,2,1,1,4,0,2,3,0,5,3,2
2055,2056,2056,white,age.gp4,Tr,NoTrade,Group,15,2,3,5,5,1,11,3,6,9,0,15,7,8
2171,2172,2172,white,age.gp2,NoTr,NoTrade,Group,20,4,10,4,2,1,16,3,11,9,1,19,15,5
2401,2402,2402,white,age.gp3,NoTr,NoTrade,NoGroup,11,0,5,5,1,2,7,2,4,7,1,10,6,5
2908,2909,2909,other,age.gp1,NoTr,NoTrade,NoGroup,3,0,0,3,0,1,2,0,0,3,0,3,1,2
105,106,106,white,age.gp3,NoTr,NoTrade,Group,16,3,6,6,1,1,12,3,6,10,2,14,7,9
851,852,852,other,age.gp2,Tr,NoTrade,Group,9,0,4,3,2,0,9,0,3,6,0,9,6,3
875,876,876,white,age.gp3,NoTr,Trade,Group,24,4,8,6,6,2,18,4,7,17,2,22,14,10
1178,1179,1179,white,age.gp4,Tr,NoTrade,NoGroup,7,0,2,3,2,0,6,1,3,4,0,7,5,2
1344,1345,1345,white,age.gp1,Tr,NoTrade,NoGroup,14,9,0,1,4,0,12,2,3,11,2,12,8,6
1389,1390,1390,black,age.gp3,NoTr,NoTrade,NoGroup,5,2,1,2,0,1,4,0,0,5,0,5,3,2
2145,2146,2146,other,age.gp2,NoTr,NoTrade,NoGroup,4,1,1,2,0,0,4,0,2,2,0,4,4,0
2549,2550,2550,other,age.gp1,NoTr,NoTrade,NoGroup,2,0,0,1,1,0,2,0,0,2,0,2,2,0
2881,2882,2882,white,age.gp2,NoTr,NoTrade,NoGroup,13,0,9,3,1,1,10,2,6,7,0,13,11,2
2975,2976,2976,white,age.gp1,NoTr,NoTrade,Group,19,7,6,3,3,2,13,4,10,9,0,19,12,7
106,107,107,white,age.gp2,NoTr,NoTrade,NoGroup,7,0,5,2,0,0,5,2,3,4,0,7,6,1
198,199,199,other,age.gp2,Tr,NoTrade,NoGroup,6,0,4,1,1,0,6,0,1,5,0,6,3,3
703,704,704,white,age.gp2,NoTr,NoTrade,Group,24,3,14,5,2,2,19,3,11,13,0,24,15,9
1399,1400,1400,white,age.gp3,NoTr,NoTrade,Group,19,4,5,5,5,2,14,3,7,12,0,19,13,6
2287,2288,2288,other,age.gp2,Tr,NoTrade,Group,9,0,4,3,2,0,9,0,3,6,0,9,4,5
2476,2477,2477,white,age.gp2,Tr,NoTrade,Group,26,4,13,6,3,2,19,5,10,16,1,25,15,11
2601,2602,2602,white,age.gp3,NoTr,NoTrade,Group,22,2,8,9,3,2,19,1,8,14,3,19,18,4
2971,2972,2972,white,age.gp2,NoTr,NoTrade,Group,17,2,9,5,1,3,14,0,5,12,4,13,12,5
174,175,175,white,age.gp3,NoTr,NoTrade,NoGroup,8,1,2,2,3,0,7,1,3,5,0,8,3,5
689,690,690,white,age.gp4,Tr,NoTrade,Group,13,1,4,2,6,3,9,1,7,6,2,11,10,3
1142,1143,1143,white,age.gp1,NoTr,NoTrade,NoGroup,8,6,1,0,1,1,5,2,0,8,0,8,1,7
1419,1420,1420,white,age.gp2,NoTr,NoTrade,Group,27,5,11,8,3,2,23,2,11,16,1,26,16,11
1567,1568,1568,white,age.gp4,Tr,NoTrade,Group,12,0,4,2,6,0,10,2,6,6,0,12,8,4
2173,2174,2174,white,age.gp2,NoTr,NoTrade,Group,34,3,23,4,4,1,31,2,17,17,0,34,23,11
2873,2874,2874,white,age.gp1,NoTr,NoTrade,NoGroup,10,4,2,3,1,1,6,3,4,6,1,9,6,4
108,109,109,white,age.gp2,NoTr,NoTrade,NoGroup,10,2,2,4,2,3,7,0,3,7,1,9,4,6
514,515,515,black,age.gp3,NoTr,NoTrade,NoGroup,5,1,2,1,1,2,3,0,1,4,0,5,2,3
1057,1058,1058,white,age.gp4,NoTr,NoTrade,Group,7,2,1,1,3,1,6,0,2,5,0,7,4,3
1258,1259,1259,white,age.gp1,Tr,Trade,Group,24,11,6,3,4,2,17,5,6,18,2,22,11,13
1338,1339,1339,white,age.gp3,NoTr,NoTrade,NoGroup,7,0,5,1,1,0,6,1,4,3,0,7,4,3
1671,1672,1672,white,age.gp2,Tr,NoTrade,NoGroup,10,0,6,2,2,1,8,1,6,4,0,10,7,3
2513,2514,2514,white,age.gp1,NoTr,NoTrade,NoGroup,6,1,2,2,1,0,6,0,4,2,0,6,3,3
2725,2726,2726,black,age.gp3,NoTr,NoTrade,NoGroup,10,0,5,3,2,3,7,0,5,5,1,9,6,4
109,110,110,white,age.gp2,NoTr,NoTrade,NoGroup,4,1,2,0,1,0,2,2,3,1,0,4,2,2
897,898,898,other,age.gp1,Tr,NoTrade,NoGroup,7,2,4,1,0,1,6,0,1,6,0,7,3,4
2267,2268,2268,white,age.gp4,Tr,NoTrade,Group,14,0,2,3,9,3,9,2,3,11,0,14,7,7
110,111,111,white,age.gp2,NoTr,NoTrade,NoGroup,16,0,13,1,2,1,13,2,10,6,0,16,10,6
656,657,657,white,age.gp2,Tr,NoTrade,NoGroup,10,3,4,1,2,0,8,2,1,9,0,10,5,5
658,659,659,white,age.gp2,Tr,NoTrade,NoGroup,7,1,2,1,3,1,5,1,3,4,0,7,4,3
688,689,689,white,age.gp4,Tr,NoTrade,Group,19,1,4,5,9,0,18,1,8,11,1,18,10,9
1099,1100,1100,white,age.gp2,NoTr,NoTrade,Group,26,2,12,7,5,3,20,3,8,18,1,25,15,11
1317,1318,1318,white,age.gp2,NoTr,NoTrade,NoGroup,12,2,8,2,0,1,9,2,5,7,1,11,6,6
1652,1653,1653,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,3,1,1,0,5,0,2,3,1,4,4,1
2198,2199,2199,white,age.gp4,NoTr,NoTrade,NoGroup,5,1,2,2,0,0,3,2,1,4,2,3,2,3
2343,2344,2344,white,age.gp2,Tr,NoTrade,Group,26,3,13,4,6,6,18,2,9,17,2,24,15,11
2957,2958,2958,white,age.gp2,Tr,NoTrade,Group,20,1,7,10,2,2,18,0,6,14,0,20,12,8
111,112,112,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,3,2,0,0,5,1,5,1,0,6,3,3
1441,1442,1442,white,age.gp3,Tr,NoTrade,NoGroup,6,0,3,2,1,0,5,1,1,5,0,6,3,3
2956,2957,2957,white,age.gp2,Tr,NoTrade,Group,32,6,12,5,9,3,22,7,10,22,4,28,22,10
112,113,113,white,age.gp3,NoTr,NoTrade,NoGroup,7,0,3,2,2,1,6,0,3,4,1,6,4,3
1957,1958,1958,white,age.gp4,NoTr,NoTrade,Group,14,1,1,4,8,1,12,1,2,12,1,13,9,5
2310,2311,2311,white,age.gp2,Tr,NoTrade,NoGroup,10,1,5,4,0,1,9,0,5,5,0,10,8,2
113,114,114,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,3,2,0,0,5,1,3,3,0,6,6,0
2060,2061,2061,white,age.gp3,Tr,NoTrade,Group,18,3,3,4,8,2,14,2,7,11,0,18,9,9
2955,2956,2956,white,age.gp2,Tr,NoTrade,Group,22,3,11,4,4,1,18,3,9,13,0,22,14,8
