,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
1863,1864,1864,white,age.gp3,NoTr,NoTrade,Group,14,4,5,2,3,0,14,0,6,8,1,13,7,7
2073,2074,2074,white,age.gp3,Tr,NoTrade,Group,18,0,6,7,5,1,16,1,6,12,0,18,15,3
2169,2170,2170,white,age.gp2,NoTr,NoTrade,Group,27,3,13,4,7,5,20,2,9,18,2,25,16,11
2172,2173,2173,white,age.gp2,NoTr,NoTrade,Group,24,2,11,10,1,3,18,3,10,14,0,24,18,6
2311,2312,2312,white,age.gp2,Tr,NoTrade,NoGroup,12,1,8,1,2,1,7,4,5,7,1,11,6,6
2526,2527,2527,white,age.gp2,NoTr,NoTrade,Group,26,3,13,3,7,2,22,2,13,13,3,23,18,8
2586,2587,2587,white,age.gp4,NoTr,NoTrade,Group,12,0,1,1,10,1,11,0,1,11,1,11,9,3
2593,2594,2594,white,age.gp3,NoTr,NoTrade,Group,19,1,11,2,5,1,16,2,12,7,0,19,14,5
2689,2690,2690,black,age.gp3,NoTr,NoTrade,NoGroup,12,1,3,2,6,7,2,3,2,10,2,10,6,6
2698,2699,2699,white,age.gp4,NoTr,NoTrade,Group,12,1,3,2,6,2,10,0,4,8,1,11,6,6
2749,2750,2750,white,age.gp3,NoTr,NoTrade,NoGroup,9,2,4,0,3,0,7,2,5,4,2,7,9,0
2884,2885,2885,white,age.gp1,NoTr,NoTrade,Group,16,5,5,1,5,1,11,4,6,10,1,15,9,7
50,51,51,white,age.gp2,Tr,NoTrade,Group,18,2,6,6,4,2,14,2,7,11,3,15,15,3
80,81,81,white,age.gp4,NoTr,NoTrade,Group,10,1,2,1,6,0,9,1,5,5,0,10,7,3
95,96,96,white,age.gp3,NoTr,NoTrade,Group,18,3,8,2,5,2,16,0,8,10,1,17,11,7
281,282,282,white,age.gp2,Tr,NoTrade,Group,21,1,11,6,3,0,19,2,6,15,2,19,14,7
328,329,329,white,age.gp1,NoTr,NoTrade,NoGroup,3,1,2,0,0,0,3,0,1,2,0,3,2,1
1286,1287,1287,white,age.gp4,NoTr,NoTrade,Group,14,0,4,3,7,1,11,2,3,11,1,13,5,9
1421,1422,1422,white,age.gp2,NoTr,NoTrade,Group,19,4,8,5,2,0,17,2,8,11,5,14,14,5
1430,1431,1431,white,age.gp3,Tr,NoTrade,NoGroup,12,1,7,2,2,0,11,1,5,7,0,12,10,2
1467,1468,1468,white,age.gp2,NoTr,Trade,Group,23,3,11,4,5,1,18,4,10,13,0,23,15,8
1588,1589,1589,white,age.gp4,Tr,NoTrade,Group,6,1,3,1,1,0,5,1,2,4,2,4,4,2
2301,2302,2302,other,age.gp2,Tr,NoTrade,Group,11,1,5,3,2,0,11,0,4,7,2,9,9,2
2338,2339,2339,white,age.gp3,Tr,NoTrade,Group,20,1,9,7,3,2,16,2,9,11,1,19,16,4
2739,2740,2740,white,age.gp2,Tr,NoTrade,Group,24,1,18,3,2,2,16,6,8,16,2,22,14,10
2855,2856,2856,black,age.gp3,NoTr,NoTrade,Group,19,1,7,5,6,10,8,1,4,15,0,19,11,8
2913,2914,2914,other,age.gp1,NoTr,NoTrade,NoGroup,7,3,2,2,0,1,5,1,2,5,2,5,3,4
51,52,52,white,age.gp2,Tr,NoTrade,Group,27,2,16,4,5,1,20,6,12,15,2,25,16,11
140,141,141,white,age.gp2,NoTr,NoTrade,NoGroup,10,0,8,1,1,1,7,2,4,6,2,8,7,3
234,235,235,white,age.gp2,Tr,NoTrade,Group,25,3,14,5,3,1,20,4,12,13,2,23,19,6
242,243,243,white,age.gp2,Tr,NoTrade,Group,28,3,9,8,8,4,21,3,8,20,2,26,17,11
246,247,247,white,age.gp2,Tr,NoTrade,Group,19,2,9,5,3,0,15,4,11,8,2,17,12,7
344,345,345,white,age.gp2,NoTr,NoTrade,Group,30,3,13,11,3,2,26,2,16,14,2,28,19,11
445,446,446,black,age.gp3,NoTr,NoTrade,NoGroup,10,0,4,3,3,7,3,0,3,7,1,9,4,6
663,664,664,white,age.gp2,NoTr,NoTrade,Group,30,4,12,7,7,4,22,4,10,20,2,28,20,10
841,842,842,white,age.gp2,Tr,NoTrade,NoGroup,12,0,7,4,1,0,12,0,5,7,0,12,10,2
847,848,848,other,age.gp2,Tr,NoTrade,Group,13,1,5,1,6,1,12,0,5,8,1,12,8,5
873,874,874,white,age.gp3,NoTr,Trade,Group,19,2,9,4,4,0,19,0,8,11,1,18,12,7
911,912,912,other,age.gp1,Tr,NoTrade,NoGroup,5,0,2,3,0,0,5,0,3,2,0,5,4,1
1098,1099,1099,white,age.gp2,NoTr,NoTrade,Group,19,4,10,2,3,2,15,2,10,9,0,19,13,6
