"","X","Unnamed..0","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup","net"
"5055",2702,2703,2703,"white","age.gp4","NoTr","NoTrade","Group",12,0,1,4,7,1,11,0,4,8,1,11,10,2,2
"5056",425,426,426,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,1,3,0,4,0,1,3,0,4,2,2,2
"5057",1154,1155,1155,"white","age.gp4","NoTr","NoTrade","NoGroup",7,0,0,0,7,0,7,0,1,6,0,7,5,2,2
"5058",1974,1975,1975,"white","age.gp4","Tr","NoTrade","NoGroup",4,0,1,2,1,0,4,0,2,2,0,4,2,2,2
"5059",426,427,427,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0,2
"5060",2324,2325,2325,"white","age.gp1","NoTr","NoTrade","NoGroup",12,5,3,3,1,1,11,0,5,7,0,12,3,9,2
"5061",2779,2780,2780,"white","age.gp3","NoTr","NoTrade","Group",17,0,4,6,7,1,15,1,7,10,2,15,10,7,2
"5062",428,429,429,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0,2
"5063",2722,2723,2723,"white","age.gp4","NoTr","NoTrade","Group",12,0,0,2,10,1,10,1,3,9,0,12,8,4,2
"5064",538,539,539,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,0,4,0,4,0,2,2,0,4,2,2,2
"5065",1940,1941,1941,"white","age.gp4","NoTr","NoTrade","Group",9,1,0,1,7,0,9,0,1,8,1,8,4,5,2
"5066",612,613,613,"other","age.gp4","NoTr","NoTrade","NoGroup",2,0,1,0,1,0,2,0,0,2,1,1,1,1,2
"5067",2561,2562,2562,"white","age.gp4","NoTr","NoTrade","Group",10,2,1,1,6,1,9,0,5,5,0,10,6,4,2
"5068",436,437,437,"white","age.gp4","NoTr","NoTrade","NoGroup",7,0,2,3,2,0,7,0,2,5,0,7,4,3,2
"5069",767,768,768,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,1,4,0,5,0,3,2,0,5,2,3,2
"5070",2959,2960,2960,"white","age.gp2","NoTr","NoTrade","Group",22,2,10,6,4,3,17,2,9,13,2,20,13,9,2
"5071",1695,1696,1696,"white","age.gp4","NoTr","Trade","NoGroup",4,0,0,0,4,0,4,0,3,1,0,4,2,2,2
"5072",2755,2756,2756,"white","age.gp3","NoTr","NoTrade","NoGroup",6,0,3,1,2,0,5,1,2,4,0,6,3,3,2
"5073",440,441,441,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,0,1,0,1,1,0,2
"5074",1268,1269,1269,"black","age.gp3","NoTr","NoTrade","NoGroup",7,1,3,2,1,5,2,0,1,6,2,5,2,5,2
"5075",930,931,931,"white","age.gp3","NoTr","NoTrade","NoGroup",10,1,4,1,4,2,8,0,3,7,3,7,5,5,2
"5076",1313,1314,1314,"white","age.gp1","NoTr","NoTrade","NoGroup",14,2,6,2,4,1,10,3,6,8,1,13,10,4,2
"5077",447,448,448,"black","age.gp3","NoTr","NoTrade","NoGroup",5,1,1,1,2,5,0,0,0,5,0,5,3,2,2
"5078",1026,1027,1027,"black","age.gp4","NoTr","NoTrade","NoGroup",11,0,0,4,7,2,9,0,2,9,0,11,8,3,2
"5079",448,449,449,"black","age.gp3","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,1,0,2
"5080",449,450,450,"black","age.gp3","NoTr","NoTrade","NoGroup",6,1,1,4,0,5,0,1,1,5,0,6,2,4,2
"5081",450,451,451,"black","age.gp3","NoTr","NoTrade","NoGroup",10,1,6,0,3,5,4,1,4,6,2,8,7,3,2
"5082",532,533,533,"white","age.gp4","NoTr","NoTrade","NoGroup",4,1,0,1,2,1,3,0,2,2,0,4,3,1,2
"5083",627,628,628,"other","age.gp1","NoTr","Trade","Group",8,3,1,2,2,2,6,0,1,7,0,8,4,4,2
"5084",2378,2379,2379,"white","age.gp2","NoTr","NoTrade","NoGroup",6,0,3,1,2,1,5,0,2,4,1,5,3,3,2
