,node,treat,degree,size_comm_tr,size_comm_no_tr,old_label,type_comm_tr,type_comm_no_tr
2923,2924,NoTr,1,1,1,2668,small,small
2924,2925,NoTr,1,1,1,2711,small,small
2925,2926,NoTr,1,2,2,2654,small,small
2926,2927,NoTr,1,1,1,2659,small,small
2927,2928,NoTr,1,1,1,2940,small,small
2928,2929,NoTr,1,1,1,2804,small,small
2929,2930,NoTr,1,1,1,2477,small,small
2930,2931,NoTr,1,1,1,2480,small,small
2931,2932,NoTr,1,1,1,2814,small,small
2932,2933,NoTr,1,2,2,2487,small,small
2933,2934,NoTr,2,2522,2604,2529,large,large
2934,2935,NoTr,1,1,1,2504,small,small
2935,2936,NoTr,1,4,1,2549,small,small
2936,2937,NoTr,1,2,2,2520,small,small
2937,2938,NoTr,1,1,1,2721,small,small
2938,2939,NoTr,1,1,1,2897,small,small
2939,2940,NoTr,1,2,2,2555,small,small
2940,2941,NoTr,1,2,1,2583,small,small
2941,2942,NoTr,1,1,1,2658,small,small
2942,2943,Tr,1,1,1,2768,small,small
2943,2944,NoTr,1,4,2,2687,small,small
2944,2945,NoTr,1,2,2,2698,small,small
2945,2946,NoTr,1,7,5,2761,small,small
2946,2947,NoTr,1,1,1,2848,small,small
2947,2948,NoTr,1,1,1,2895,small,small
2948,2949,NoTr,1,2,2,2931,small,small
2949,2950,Tr,1,2,2,2923,small,small
2950,2951,NoTr,1,4,1,2879,small,small
2951,2952,NoTr,1,2,2,2892,small,small
