,node,prop_trt,degree
168,1171,0.2562674094707521,21
169,82,0.2580758426966292,20
170,610,0.26666666666666666,11
171,493,0.2567849686847599,24
172,2727,0.2772082018927445,9
173,1349,0.2702702702702703,13
174,938,0.2585844428871759,20
175,2148,0.26519536903039076,13
176,2338,0.2654478976234004,12
177,1883,0.2703510082150859,10
178,777,0.2642883145249363,13
179,326,0.2552896288588276,25
180,1089,0.26022566995768687,17
181,978,0.26759530791788855,9
182,656,0.27944664031620553,7
183,908,0.25732217573221755,26
184,2150,0.2708803611738149,9
185,685,0.26230686309737694,16
186,831,0.26696002933626695,14
187,937,0.2552896288588276,26
188,377,0.2621011115095016,14
189,83,0.2564549895324494,24
190,92,0.25591098748261476,31
191,95,0.25738396624472576,20
192,127,0.2598230088495575,19
193,132,0.2590893046240734,16
194,133,0.26080793763288446,13
195,137,0.2695716395864106,8
196,141,0.2575122292103424,23
197,142,0.25715282623866015,29
198,687,0.2769770159719517,9
199,1759,0.2731108553893364,6
200,561,0.2626661875673733,17
201,1567,0.2704024069198947,9
202,1470,0.2675486953325983,11
203,523,0.2688921496698459,8
204,1431,0.26274228284278534,14
205,1564,0.2628182144137684,14
206,1813,0.2634428004330567,13
207,569,0.26150552978951125,15
208,318,0.27504761904761904,6
209,634,0.27087198515769945,13
210,552,0.26521739130434785,12
211,571,0.2568039078855548,18
212,2825,0.27400379506641365,8
213,2200,0.26647251547142337,14
214,827,0.2600355239786856,16
215,1023,0.2711610486891386,9
216,1091,0.2630824372759857,12
217,470,0.2680866691149468,10
218,396,0.26419841840402586,10
219,380,0.2651432716721074,10
220,244,0.25880281690140844,20
221,376,0.2540503274732851,36
222,932,0.2596255740021194,19
223,2436,0.2607612949128424,16
224,1293,0.25868725868725867,16
225,1950,0.2561696211331248,25
226,948,0.25679442508710804,24
227,2580,0.27391471379177873,5
228,1449,0.2677514792899408,12
229,369,0.25832457062740977,23
230,332,0.26223651304037154,12
231,174,0.2618876080691643,11
232,379,0.2605309734513274,19
233,365,0.25851773796979277,23
234,388,0.25779334500875656,21
235,1530,0.25668634942688434,24
236,2159,0.2934312878133103,5
237,1328,0.2651487330150569,11
238,941,0.25633021158515434,32
239,2359,0.268729034662691,8
240,2291,0.27359572029040885,11
241,1395,0.26304503216583275,15
242,1962,0.25831564048124556,12
243,1574,0.2619899785254116,16
244,432,0.2603083542488347,13
245,251,0.26600804976216613,13
246,1978,0.26404899135446686,15
247,820,0.25528229996536195,24
248,589,0.2639338367493707,14
249,353,0.2615823235923022,17
250,1443,0.2573324022346369,20
251,675,0.25925925925925924,20
252,792,0.2578042792002806,22
253,479,0.2632150615496017,12
254,238,0.2608849557522124,18
255,417,0.2592072956857243,21
256,515,0.2547462892647566,33
257,1432,0.2668621700879765,8
258,707,0.2605160834217038,18
259,2579,0.2691312384473198,7
260,1887,0.26594202898550723,11
261,2633,0.2764070932922128,6
262,443,0.2586750788643533,24
263,828,0.25616105518917043,30
264,1247,0.27244936950706916,6
265,1098,0.25863284002818887,16
266,333,0.26262988176280905,13
267,960,0.26558465510881596,7
268,946,0.2618622904031395,18
269,327,0.25716282320055905,28
270,2372,0.255741127348643,22
271,1765,0.26022040526128687,15
272,947,0.2588939767523776,22
273,1035,0.25925925925925924,18
