,V1,V2
248,22,2062
249,22,1239
250,22,167
251,22,2063
252,23,21
253,23,180
254,23,1502
255,23,480
256,23,386
257,24,21
258,24,28
259,24,1483
260,24,2231
261,24,1177
262,24,26
263,25,21
264,25,441
265,25,1188
266,25,148
267,25,1361
268,25,1256
269,25,983
270,25,1862
271,25,2288
272,25,2241
273,25,815
274,25,199
275,25,549
276,25,1748
277,25,1469
278,25,632
279,25,119
280,25,791
281,25,1376
282,25,1359
283,25,879
284,25,177
285,25,990
286,26,21
287,26,24
288,26,169
289,26,398
290,26,1195
291,26,556
292,26,1784
293,26,131
294,26,2168
295,26,724
296,26,2566
297,26,2681
298,26,2835
299,26,2369
300,26,2925
301,26,535
302,26,605
303,26,1011
304,26,1768
305,26,449
306,26,2574
307,26,1937
308,27,28
309,27,29
310,27,30
311,27,31
312,27,32
313,27,33
314,27,34
315,27,35
316,27,36
317,27,37
318,28,24
319,28,27
320,28,787
321,28,803
322,28,804
323,28,805
324,28,806
325,28,807
326,28,358
327,28,808
328,28,809
329,28,810
330,28,811
331,28,298
332,28,812
333,28,535
334,28,813
335,28,44
336,29,27
337,29,738
338,29,1099
339,29,1324
340,29,1409
341,29,1152
342,29,1410
343,29,1246
344,29,1411
345,29,1401
346,29,1412
347,29,1413
348,30,27
349,30,116
350,30,1059
351,30,225
352,30,890
353,30,425
354,30,636
355,31,27
356,31,1390
357,31,2164
358,31,1029
359,31,632
360,31,1924
361,31,2165
362,31,2166
363,31,2167
364,31,1172
365,31,44
366,31,171
367,32,27
368,32,2126
369,32,2183
370,32,1844
371,32,2109
372,33,27
373,33,309
374,33,785
375,33,1425
376,33,1604
377,33,700
378,33,1579
379,33,2609
380,33,393
381,33,509
382,33,661
383,33,632
384,33,2636
385,33,2525
386,33,821
387,33,164
388,33,998
389,33,2574
390,33,1570
391,34,27
392,34,402
393,34,2080
394,34,378
395,34,2493
396,34,577
397,34,1509
398,34,1413
399,35,27
400,35,182
401,35,1621
402,35,1758
403,35,1169
404,35,2891
405,35,832
406,35,247
407,35,160
408,35,305
409,36,17
410,36,27
411,36,648
412,36,785
413,36,1188
414,36,728
415,36,720
416,36,1527
417,36,2001
418,36,949
419,36,2144
420,36,134
421,36,1775
422,36,1314
423,36,1388
424,36,1331
425,36,2481
426,36,1161
427,36,2058
428,36,478
429,36,1902
430,36,916
431,36,2165
432,36,1050
433,36,837
434,36,1216
435,36,1146
436,36,1368
437,36,1315
438,37,27
439,37,566
440,37,918
441,37,2327
442,37,1372
